parameter,low,target,high,minimum,average,maximum,unit,min time,max time
inspiratory tidal volume,"389,5",410,"430,5","361,156881399945","378,963696043711","405,754745043452",mL,00:02:28,00:00:04
peak flow,76,80,84,"55,8342146525803","68,678860523795","87,7345458553139",L/m,00:03:49,00:00:07
peak proximal pressure,"10,45",11,"11,55","9,4577685","9,83201873748498","10,5930535277778",cmH2O,00:02:28,00:00:15
ie ratio,"0,2375","0,25","0,2625","0,235904082955282","0,253646975046913","0,292018779342723",,00:01:36,00:00:15
breath rate,"19,95",21,"22,05","15,6985871271586","17,4463686009323","21,8023255813953",bpm,00:01:02,00:00:15
high pressure,0,0,0,"-0,27716","0,00190432016666664","0,249444",psi,00:00:57,00:01:49
inspiratory time,"0,57","0,6","0,63","0,614","0,700931983333371","0,74",s,00:00:29,00:01:02
expiratory time,"2,09","2,2","2,31","2,13","2,79066934999981","3,086",s,00:00:14,00:01:36
peep,"3,8",4,"4,2","3,42727555555555","3,63949234245328","4,11525072222223",cmH2O,00:01:01,00:00:03
minute volume,"8,36","8,8","9,24","5,72982284275675","6,69062504973481","9,13811134986613",L,00:01:32,00:00:54
