parameter,low,target,high,minimum,average,maximum,unit,min time,max time
inspiratory tidal volume,570,600,630,"590,860934738277","599,068216030035","605,850098926917",mL,00:03:21,00:00:21
peak flow,"99,75",105,"110,25","104,501667419371","107,771982713826","140,525970112582",L/m,00:00:01,00:03:37
peak proximal pressure,"28,5",30,"31,5","30,26712725","30,5746745149951","30,7761784722222",cmH2O,00:00:00,00:03:35
ie ratio,"0,2375","0,25","0,2625","0,231292517006803","0,24567103530531","0,253802281368821",,00:00:00,00:03:50
breath rate,19,20,21,"20,7182320441989","21,9212301269018","22,8484386900228",bpm,00:00:00,00:03:58
high pressure,0,0,0,"-0,27716","0,000380402099999998","0,221728",psi,00:01:28,00:02:05
inspiratory time,"0,475","0,5","0,525","0,53","0,539849899999923","0,548",s,00:03:56,00:00:12
expiratory time,"2,28","2,4","2,52","2,096","2,19854926666656","2,352",s,00:03:58,00:00:00
peep,"12,35",13,"13,65","13,0916886111111","13,5044207689457","13,84644525",cmH2O,00:00:12,00:03:26
minute volume,"11,685","12,3","12,915","12,5968013164584","13,3389194735077","13,9164114559048",L,00:00:00,00:03:50
