parameter,low,target,high,minimum,average,maximum,unit,min time,max time
inspiratory tidal volume,"560,5",590,"619,5","582,240447316799","586,584613911015","590,602904009888",mL,00:04:19,00:01:47
peak flow,"61,75",65,"68,25","58,8501190895441","63,1472635477005","68,1639664494604",L/m,00:00:40,00:03:51
peak proximal pressure,"40,85",43,"45,15","41,8946635833333","42,8292109313752","43,4596180833333",cmH2O,00:00:58,00:02:04
ie ratio,"0,2375","0,25","0,2625","0,294862772695285","0,316952205376926","0,336006415396953",,00:01:02,00:02:18
breath rate,"16,15",17,"17,85","16,0513643659711","17,1548603683719","18,0072028811525",bpm,00:00:00,00:02:18
high pressure,0,0,0,"-0,249444","0,00186306951999998","0,249444",psi,00:00:03,00:01:33
inspiratory time,"0,76","0,8","0,84","0,822","0,841935946666702","0,876",s,00:01:23,00:00:00
expiratory time,"2,565","2,7","2,835","2,494","2,65747013333284","2,868",s,00:02:17,00:00:00
peep,"15,2",16,"16,8","14,8166666388889","15,8321445882735","16,5542449444444",cmH2O,00:00:57,00:04:59
minute volume,"9,5",10,"10,5","9,29369785078715","10,1265428160736","10,7862812382481",L,00:00:06,00:02:20
