parameter,low,target,high,minimum,average,maximum,unit,min time,max time
inspiratory tidal volume,"427,5",450,"472,5","446,224066416901","451,724489114562","455,63730621676",mL,00:00:35,00:02:01
peak flow,76,80,84,"72,8940917363097","77,1258558146562","82,8515601580543",L/m,00:00:01,00:00:35
peak proximal pressure,"12,35",13,"13,65","13,2630523888889","13,3312442942046","13,4142557222222",cmH2O,00:01:15,00:00:46
ie ratio,"0,475","0,5","0,525","0,354555433589462","0,37012581008124","0,383802816901408",,00:02:44,00:00:58
breath rate,"23,75",25,"26,25","24,2914979757085","25,0561529092511","25,8843830888697",bpm,00:02:18,00:00:37
high pressure,0,0,0,"-0,27716","0,00231582577777774","0,249444",psi,00:01:29,00:01:59
inspiratory time,"0,665","0,7","0,735","0,63","0,646892799999838","0,668",s,00:01:10,00:02:18
expiratory time,"1,615","1,7","1,785","1,676","1,74887388888903","1,822",s,00:00:41,00:02:43
peep,"6,65",7,"7,35","6,82431044444445","6,88642263173078","6,99315416666667",cmH2O,00:02:19,00:00:29
minute volume,"10,83","11,4","11,97","10,9471969913998","11,37753791521","11,8686177496001",L,00:02:22,00:02:12
